Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",193.12,242.02,191.8,217.95,"667,274,000","3,239,170,000"
"Jan 18, 2018",186.79,208.26,181.69,195.4,"248,325,000","3,132,570,000"
"Jan 17, 2018",189.88,209.35,146.95,186.12,"347,983,000","3,184,020,000"
"Jan 16, 2018",266.35,266.35,151.42,190.11,"439,330,000","4,465,810,000"
"Jan 15, 2018",276.37,332.56,264.7,267.68,"1,689,000,000","4,633,360,000"
"Jan 14, 2018",339.06,382.88,272.1,275.86,"851,848,000","5,683,570,000"
"Jan 13, 2018",220.42,366.11,220.1,330.13,"1,160,490,000","3,694,430,000"
"Jan 12, 2018",211.64,224.58,207.13,220.55,"113,420,000","3,546,910,000"
"Jan 11, 2018",242.69,243.88,206.56,210.93,"122,452,000","4,066,710,000"
"Jan 10, 2018",240.88,243.36,223.43,243.36,"131,618,000","4,035,920,000"
"Jan 09, 2018",239.06,252.67,227.77,240.9,"152,475,000","4,005,020,000"
"Jan 08, 2018",302.28,307.44,217.72,239.55,"164,036,000","5,063,530,000"
"Jan 07, 2018",299.6,335.84,292.49,302.25,"203,684,000","5,018,030,000"
"Jan 06, 2018",277.45,300.38,273.82,300.38,"172,099,000","4,646,530,000"
"Jan 05, 2018",274.58,294.79,266.55,277.44,"175,165,000","4,598,030,000"
"Jan 04, 2018",272.43,280.12,258.89,273.76,"136,988,000","4,561,520,000"
"Jan 03, 2018",276.12,281.97,267.18,270.24,"106,643,000","4,622,800,000"
"Jan 02, 2018",275.42,284.96,270.83,277.08,"117,571,000","4,610,460,000"
"Jan 01, 2018",261.63,297.17,255.76,272.9,"143,836,000","4,379,180,000"
"Dec 31, 2017",250.12,267.88,249.06,261.72,"78,952,100","4,186,100,000"
"Dec 30, 2017",281.12,281.62,248.57,251.51,"96,001,300","4,704,380,000"
"Dec 29, 2017",285.77,291.3,267.74,280.58,"114,615,000","4,781,710,000"
"Dec 28, 2017",318.78,318.78,274.29,284.34,"134,169,000","5,333,490,000"
"Dec 27, 2017",307.59,330.97,300.93,317.88,"135,077,000","5,145,590,000"
"Dec 26, 2017",305.83,316.28,299.03,307.29,"110,025,000","5,115,710,000"
"Dec 25, 2017",307.49,312,295.27,309.33,"104,619,000","5,142,770,000"
"Dec 24, 2017",334.55,334.55,289.77,305.22,"144,898,000","5,594,770,000"
"Dec 23, 2017",308.76,354.89,306,334.56,"217,778,000","5,162,850,000"
"Dec 22, 2017",416.44,416.75,259.88,305.73,"313,313,000","6,962,700,000"
"Dec 21, 2017",449.75,460.87,369.17,406.77,"352,178,000","7,518,780,000"
"Dec 20, 2017",354.38,488.57,348.56,453.45,"983,169,000","5,923,720,000"
"Dec 19, 2017",319.81,367.33,316.07,355.18,"413,363,000","5,345,270,000"
"Dec 18, 2017",300,332.56,281.7,319.53,"313,797,000","5,013,620,000"
"Dec 17, 2017",297.61,306.58,294.5,300.49,"120,807,000","4,973,110,000"
"Dec 16, 2017",297.06,313,292.14,296.4,"136,415,000","4,963,500,000"
"Dec 15, 2017",316.87,316.87,277.86,297.84,"175,999,000","5,293,820,000"
"Dec 14, 2017",271.43,352.55,270.45,316.95,"467,875,000","4,534,150,000"
"Dec 13, 2017",276.11,285.06,254.1,271.45,"221,863,000","4,611,860,000"
"Dec 12, 2017",254.35,294.19,251.87,275.44,"205,849,000","4,247,980,000"
"Dec 11, 2017",229.33,288.68,229.19,254.45,"265,127,000","3,829,550,000"
"Dec 10, 2017",244.97,245.99,195.87,228.87,"140,891,000","4,090,460,000"
"Dec 09, 2017",260.84,263.1,230.1,243.1,"105,017,000","4,354,930,000"
"Dec 08, 2017",253.71,278.26,248.08,261.16,"178,502,000","4,235,360,000"
"Dec 07, 2017",279.03,279.76,250.23,251.64,"137,885,000","4,657,540,000"
"Dec 06, 2017",305.66,305.93,270.91,279.89,"156,602,000","5,101,520,000"
"Dec 05, 2017",329.47,329.47,303.18,304.69,"113,206,000","5,498,370,000"
"Dec 04, 2017",322.01,339.83,316.34,328.38,"130,453,000","5,373,320,000"
"Dec 03, 2017",298.84,347.78,294.44,320.66,"252,844,000","4,986,080,000"
"Dec 02, 2017",311.51,315.05,295.88,299.07,"88,196,700","5,196,890,000"
